symbol,name,industry,price_date,market_price,fair_value,upside,pe_ratio,eps,nav_per_share,roe_annual
4173,久裕,生技醫療業,2026-02-06,21.3,59.575071141886724,179.69516968021938,0.0,1.01,26.44,15.279878971255673
2905,三商,貿易百貨業,2026-02-06,15.3,42.68925789522479,179.01475748512934,40.26,0.53,15.0,14.133333333333335
4915,致伸,電子零組件業,2026-02-06,80.8,225.23829716089116,178.7602687634792,14.3,4.76,40.64,46.85039370078739
8446,華研,文化創意業,2026-02-06,93.7,260.94994242278375,178.4951359901641,0.0,8.61,40.47,85.10007412898443
6021,美好證,金融保險業,2026-02-06,30.45,84.78171316656942,178.4292714829866,0.0,2.46,28.68,34.30962343096235
3679,新至陞,電子零組件業,2026-02-06,113.0,314.1517412247693,178.01039046439763,10.08,6.15,72.42,33.96851698425849
4974,亞泰,電子零組件業,2026-02-06,74.6,206.74040278900068,177.1319072238615,0.0,4.19,42.95,39.022118742724096
2612,中航,航運業,2026-02-06,59.9,165.8477567587398,176.87438523996627,8.35,4.21,64.85,25.96761757902853
2031,新光鋼,鋼鐵工業,2026-02-06,38.55,106.47377095910538,176.19655242310088,15.93,2.67,36.35,29.381017881705638
6690,安硌穈T,數位雲端,2026-02-06,161.5,445.13661134346876,175.626384732798,0.0,7.07,101.5,27.862068965517246
3356,奇偶,光電業,2026-02-06,47.1,129.80574580498072,175.59606328021385,8.82,3.16,27.82,45.43493889288282
6961,旅天下,觀光餐旅,2026-02-06,59.2,163.14173121960388,175.5772486817633,0.0,4.06,35.34,45.95359366157328
8279,生展,生技醫療業,2026-02-06,130.5,358.1868149645309,174.47265514523443,0.0,8.62,86.13,40.03250899802624
4754,國碳科,化學工業,2026-02-06,38.2,104.82616705815632,174.41404989046154,0.0,2.63,17.34,60.66897347174164
2501,國建,建材營造業,2026-02-06,22.0,60.24627071081903,173.8466850491774,9.05,1.91,25.03,30.52337195365561
1730,花仙子,化學工業,2026-02-06,53.1,145.3610115643494,173.74955096864298,11.99,3.42,30.84,44.3579766536965
5483,中美晶,半導體業,2026-02-06,116.5,318.2319473899949,173.16046986265656,0.0,4.07,76.79,21.200677171506708
5269,祥碩,半導體業,2026-02-06,1235.0,3368.295682400573,172.7364925020707,18.99,52.62,436.17,48.25641378361647
5511,德昌,建材營造業,2026-02-06,66.5,181.05445389306362,172.26233668129868,0.0,6.56,56.39,46.53307323993616
2415,錩新,電子零組件業,2026-02-06,26.3,71.50748168148486,171.8915653288398,16.14,1.37,17.5,31.314285714285717
3611,鼎翰,電腦及週邊設備業,2026-02-06,191.5,519.5774782333011,171.31983197561416,0.0,13.9,105.71,52.59672689433356
1726,永記,化學工業,2026-02-06,75.8,205.07317546863524,170.54508637023122,13.21,4.28,62.04,27.595099935525468
3311,閎暉,通信網路業,2026-02-06,31.0,83.57440052064051,169.59484038916293,24.41,1.15,35.18,13.075611142694713
2069,運錩,鋼鐵工業,2026-02-06,18.8,50.65052842088679,169.4177043664191,11.82,1.1,23.55,18.683651804670916
3545,敦泰,半導體業,2026-02-06,52.2,140.38910850451907,168.9446523075078,22.12,1.55,44.88,13.814616755793226
6666,羅麗芬-KY,生技醫療業,2026-02-06,44.2,118.76272917537193,168.69395741034373,18.49,2.63,34.44,30.545876887340302
4535,至興,電機機械,2026-02-06,29.75,79.73586278176668,168.01970682946785,0.0,0.92,32.02,11.492816989381636
7716,昱臺國際,航運業,2026-02-06,25.7,68.83193455699956,167.828539132294,0.0,1.96,20.28,38.65877712031558
2610,華航,航運業,2026-02-06,22.65,60.602724627249096,167.5616981335501,9.17,1.81,15.5,46.70967741935484
4506,崇友,電機機械,2026-02-06,112.0,299.6350421034777,167.5312875923908,0.0,5.06,31.63,63.98988302244704
5283,禾聯碩,電器電纜,2026-02-06,59.6,159.29521379522876,167.27384864971268,9.85,4.23,64.41,26.269212855146723
2441,超豐,半導體業,2026-02-06,83.8,223.07913444417838,166.20421771381672,19.95,3.18,40.37,31.508545949962848
6811,宏硌穈T,數位雲端,2026-02-06,207.0,550.8039892426887,166.0888836921201,0.0,11.25,53.75,83.72093023255815
3217,優群,電子零組件業,2026-02-06,153.5,408.43365866908044,166.08055939353775,0.0,9.47,49.64,76.30942788074134
3206,志豐,電子零組件業,2026-02-06,31.75,84.22696560226579,165.28178142445918,0.0,1.49,25.03,23.811426288453855
3257,虹冠電,半導體業,2026-02-06,63.5,168.29594809972065,165.03298913341834,21.1,2.65,21.05,50.3562945368171
6971,惠民實業,綠能環保,2026-02-06,29.85,78.9719222774197,164.5625536931983,0.0,1.59,22.5,28.26666666666667
2897,王道銀行,金融保險業,2026-02-06,9.3,24.51623306908831,163.61540934503557,12.92,0.53,14.35,14.77351916376307
2851,中再保,金融保險業,2026-02-06,27.0,71.00355792470914,162.9761404618857,10.76,2.0,25.76,31.05590062111801
5547,久舜,建材營造業,2026-02-06,22.95,60.31484178101985,162.80976810901896,0.0,2.3,16.46,55.893074119076545
2640,大車隊,數位雲端,2026-02-06,123.5,324.2438084179648,162.54559386070022,0.0,6.51,34.47,75.54395126196692
9908,大台北,油電燃氣業,2026-02-06,29.75,77.70095722839145,161.17968816266034,17.4,1.54,27.35,22.522851919561244
6605,帝寶,汽車工業,2026-02-06,145.5,379.9895323487283,161.16119061768268,10.6,8.84,114.81,30.798710913683475
6024,群益期,金融保險業,2026-02-06,50.6,132.08908680100922,161.04562608895102,10.56,4.0,40.07,39.9301222859995
1527,鑽全,電機機械,2026-02-06,33.9,88.45999482926493,160.9439375494541,24.57,1.04,34.24,12.149532710280374
5315,光聯,光電業,2026-02-06,25.05,65.30183312483216,160.68596057817228,0.0,1.53,15.78,38.78326996197719
2820,華票,金融保險業,2026-02-06,16.35,42.59620709003652,160.52726048952,12.98,1.05,20.22,20.77151335311573
