symbol,name,industry,price_date,market_price,report_quarter,pe_ratio,value_score,eps_yoy,growth_score,avg_revenue_yoy_3m,momentum_score,op_margin,profit_score,cash_quality,quality_score,equity_to_assets_ratio,safety_score,total_score
8112,至上,電子通路業,2025-04-28,51.0,2024Q4,15.04,51.31233595800524,-25.74,0.0,-14.443333333333333,0.0,2.1423012280586127,0.0,-1.1564576190028302,0.0,32.6726551819297,31.68163795482425,8.29939739128295
5206,坤悅,建材營造業,2025-04-28,37.25,2024Q4,0.0,0.0,-10.43,0.0,-100.0,0.0,16.04834706213499,55.241735310674954,-6.75347021489535,0.0,20.0,0.0,8.286260296601244
6113,亞矽,電子通路業,2025-04-28,28.5,2024Q4,0.0,0.0,-156.52,0.0,-7.5,0.0,-5.035890470925632,0.0,0.0,0.0,53.0,82.5,8.25
4426,利勤,紡織纖維,2025-04-28,11.3,2024Q4,0.0,0.0,-466.67,0.0,-13.193333333333333,0.0,-20.932254741243966,0.0,0.0,0.0,52.842056948019,82.1051423700475,8.21051423700475
2231,為升,汽車工業,2025-04-28,86.5,2024Q4,25.67,0.0,5.31,10.62,-16.946666666666665,0.0,6.700902358695878,8.504511793479388,0.06160477760791102,0.0,36.3558637635397,40.889659408849255,8.019642709906833
2740,天蔥,觀光餐旅,2025-04-28,26.7,2024Q4,0.0,0.0,-19.23,0.0,-1.0599999999999998,0.0,-21.733739054624248,0.0,0.0,0.0,52.0,80.0,8.0
9933,中鼎,其他業,2025-04-28,28.1,2024Q4,11.71,70.74450084602367,1.67,3.34,-23.843333333333334,0.0,3.611025916388793,0.0,-3.3735030629901517,0.0,15.7452867550041,0.0,7.909450084602367
1313,聯成,塑膠工業,2025-04-28,8.31,2024Q4,0.0,0.0,-752.38,0.0,-10.456666666666665,0.0,-3.649545528194928,0.0,0.0,0.0,51.6299662674002,79.0749156685005,7.90749156685005
3011,今皓,電子零組件業,2025-04-28,13.1,2024Q4,0.0,0.0,-79.67,0.0,-8.57,0.0,-23.627589678606455,0.0,0.0,0.0,51.5507169970835,78.87679249270874,7.8876792492708745
1903,士紙,造紙工業,2025-04-28,45.5,2024Q4,0.0,0.0,-124.24,0.0,-2.9899999999999998,0.0,-30.99910765299899,0.0,0.0,0.0,51.3813270965107,78.45331774127675,7.845331774127676
6431,光麗-KY,生技醫療業,2025-04-28,18.25,2024Q4,0.0,0.0,-38.46,0.0,0.0,0.0,-38.04182489562134,0.0,0.0,0.0,50.5346066038088,76.33651650952199,7.633651650952199
2406,國碩,光電業,2025-04-28,12.4,2024Q4,0.0,0.0,13.13,26.26,-38.410000000000004,0.0,-10.507689995114317,0.0,0.0,0.0,24.1512478451666,10.378119612916503,7.602811961291651
5905,南仁湖,觀光餐旅,2025-04-28,11.7,2024Q4,0.0,0.0,-240.0,0.0,4.079999999999999,20.399999999999995,-17.288784913062134,0.0,0.0,0.0,34.0,35.0,7.579999999999999
2417,圓剛,電腦及週邊設備業,2025-04-28,36.55,2024Q4,0.0,0.0,-4000.0,0.0,0.03666666666666677,0.18333333333333385,-2.743612642862426,0.0,0.0,0.0,49.9608585869426,74.9021464673565,7.526881313402318
6218,豪勉,通信網路業,2025-04-28,21.45,2024Q4,0.0,0.0,-481.82,0.0,-2.393333333333333,0.0,-13.092989491916676,0.0,0.0,0.0,50.0,75.0,7.5
2419,仲琦,通信網路業,2025-04-28,21.5,2024Q4,0.0,0.0,-900.0,0.0,-7.543333333333333,0.0,2.756349844276351,0.0,0.0,0.0,49.3879028363463,73.46975709086576,7.346975709086576
3325,旭品,電腦及週邊設備業,2025-04-28,15.5,2024Q4,0.0,0.0,-217.86,0.0,-12.566666666666668,0.0,-9.39109667364927,0.0,0.0,0.0,49.0,72.5,7.25
2444,兆勁,通信網路業,2025-04-28,12.55,2024Q4,0.0,0.0,-50.0,0.0,-5.303333333333334,0.0,-5.175511962237738,0.0,0.0,0.0,48.5398772259392,71.349693064848,7.1349693064848
1305,華夏,塑膠工業,2025-04-28,11.15,2024Q4,0.0,0.0,-306.78,0.0,-14.233333333333334,0.0,-7.601045394379315,0.0,0.0,0.0,48.3515643309052,70.878910827263,7.0878910827263
2642,宅配通,航運業,2025-04-28,27.0,2024Q4,0.0,0.0,-110.1,0.0,-4.3566666666666665,0.0,-0.9867510010678386,0.0,0.0,0.0,48.0017946031712,70.004486507928,7.0004486507928
3276,宇環,電子零組件業,2025-04-28,11.55,2024Q4,0.0,0.0,-117.72,0.0,-60.10999999999999,0.0,-14.949315065428422,0.0,0.0,0.0,48.0,70.0,7.0
4737,華廣,生技醫療業,2025-04-28,55.9,2024Q4,0.0,0.0,-2190.0,0.0,3.68,18.4,-8.025200827823301,0.0,0.0,0.0,32.518420257414,31.296050643535,6.8096050643535
2014,中鴻,鋼鐵工業,2025-04-28,16.35,2024Q4,0.0,0.0,-663.64,0.0,-36.64666666666667,0.0,-4.072357384911935,0.0,0.0,0.0,46.5530713599262,66.3826783998155,6.638267839981551
4540,全球傳動,電機機械,2025-04-28,37.25,2024Q4,0.0,0.0,-355.96,0.0,-19.72,0.0,-27.752223899339267,0.0,0.0,0.0,46.1712914718332,65.428228679583,6.5428228679583
