symbol,name,naive_pred_eps,year,market,q2_rev,q2_margin,q2_eps,q3_rev_total,target_eps
4746,台耀,1.664672292002026,2024,sii,1214512.0,0.19418910640652376,2.36,1030886.0,0.19
2393,億光,1.8843107908271735,2024,sii,5555800.0,0.15153641239785448,1.85,5513463.0,1.25
8926,台汽電,0.4956521930517103,2024,sii,2382796.0,0.1706902311402235,0.56,2120601.0,0.34
3454,晶睿,0.4098743757647879,2024,sii,1679665.0,0.01873826030785901,0.3,1893557.0,1.11
2354,鴻準,0.8946411106860966,2024,sii,13497811.0,0.06259992824021614,0.61,20214985.0,0.69
6949,沛爾生醫-創,-1.7469737326105461,2024,sii,5014.0,-20.482249700837656,-1.78,4980.0,-1.75
1472,三洋實業,0.2688054717381561,2024,sii,537144.0,0.020869636447582027,0.26,547256.0,0.49
1319,東陽,1.8382961519411611,2024,sii,6185861.0,0.17216665553913998,1.76,6315451.0,1.49
2480,敦陽科,1.8598564963096267,2024,sii,1786850.0,0.11223158071466548,1.88,1762560.0,1.71
1531,高林股,0.11262266723147653,2024,sii,438892.0,0.04797535612405786,0.12,431022.0,0.06
1773,勝一,2.0141463207981443,2024,sii,2636817.0,0.1750678943589942,1.85,2876236.0,1.91
6969,成信實業*-創,-0.6951447884646775,2024,sii,39840.0,-0.7481425702811245,-0.83,44015.0,-2.0
2423,固緯,0.4095063871609722,2024,sii,671255.0,0.08823025526811719,0.41,673213.0,0.57
2303,聯電,1.1708508720059871,2024,sii,56799290.0,0.24252440479449655,1.11,60485085.0,1.17
4934,太極,-0.10245727080641552,2024,sii,197618.0,-0.31180358064548774,-0.12,73934.0,-0.39
1446,宏和,4.383700018959433,2024,sii,745226.0,0.3788931143035804,2.05,1593265.0,4.87
6269,台郡,0.22926479679101086,2024,sii,7565466.0,0.011523943138466289,0.24,6416044.0,-1.03
4942,嘉彰,1.3144665748392097,2024,sii,1506936.0,0.13203082280866607,1.4,1417377.0,0.44
1314,中石化,0.04746687048889953,2024,sii,8492666.0,0.02452445439394414,0.06,7325545.0,-0.15
4155,訊映,0.30943446419580056,2024,sii,438764.0,0.0999899718299587,0.3,455147.0,-0.17
1513,中興電,1.8581892178592783,2024,sii,6133879.0,0.14638746541951675,1.82,6386327.0,1.86
9944,新麗,-0.23831071552141816,2024,sii,630847.0,-0.052924084603715324,-0.35,491296.0,-0.84
4904,遠傳,0.8629266614455374,2024,sii,24970030.0,0.12577065385984718,0.86,24739152.0,0.88
2030,彰源,0.37881594719096945,2024,sii,3408461.0,0.03403735586236721,0.41,3122091.0,0.36
2367,燿華,0.7761936672515664,2024,sii,5129163.0,0.1091731730888646,0.84,4759316.0,0.52
3518,柏騰,-0.6145635973771499,2024,sii,93607.0,-0.4873032999668828,-0.53,105990.0,-0.71
6281,全國電,1.4392694593048463,2024,sii,5537831.0,0.025873848443551273,1.45,5516633.0,1.24
2316,楠梓電,1.1089652412369344,2024,sii,743874.0,0.23664088273013978,0.97,856373.0,1.04
3432,台端,-0.35128688839070293,2024,sii,8526.0,-0.8499882711705372,-0.18,17453.0,-0.23
2010,春源,0.3885442549310146,2024,sii,6196153.0,0.04086955244649382,0.39,6157219.0,0.46
2390,云辰,0.191077647705458,2024,sii,175525.0,0.2214556331006979,0.2,166197.0,-0.48
1410,南染,0.11744411577978243,2024,sii,54429.0,0.11201749067592644,0.11,66052.0,0.09
2027,大成鋼,0.45563791645433743,2024,sii,24135340.0,0.051084343539390786,0.4,21711964.0,0.12
4994,傳奇,0.48370859662363996,2024,sii,384772.0,0.08018774754919797,0.47,400438.0,1.19
6754,匯僑設計,2.50828487146005,2024,sii,1365372.0,0.11729843588414,2.43,1411330.0,1.67
