year,symbol,name,q2_eps,q2_rev,q2_margin,ly_q3_eps,target_eps,rev_m7,rev_m8,rev_m9,rev_yoy_m7
2021,2009,第一銅,0.22,802297.0,0.1003892573448486,0.43,0.56,276739.0,275002.0,292401.0,0.5307122589066933
2021,2449,京元電子,0.7,7597326.0,0.11386901128107442,0.79,1.25,2957152.0,3044565.0,2995305.0,0.19657546940007586
2021,6005,群益證,0.58,3460917.0,0.3802159947782625,0.71,0.59,1464586.0,1054617.0,820492.0,0.15394603521278794
2021,1220,台榮,0.32,789944.0,0.07826250974752641,0.31,0.16,258235.0,265446.0,267658.0,-0.024965357357266682
2021,5234,達興材料,1.56,1091047.0,0.147550930436544,1.53,1.85,392543.0,398002.0,389544.0,0.09363864565253133
2021,3051,力特,0.32,915633.0,0.11353020260300797,0.04,0.27,317833.0,262526.0,207168.0,0.4793664240099793
2021,6183,關貿,0.65,485014.0,0.1985509696627314,0.88,0.61,146138.0,171008.0,188934.0,-0.15753124567633625
2021,4532,瑞智,0.41,6281919.0,0.03141428598490366,0.43,0.37,1996792.0,1540420.0,1633481.0,0.12602851737292786
2021,6112,邁達特,0.48,2748667.0,0.033064390848363955,0.73,0.71,1076531.0,1013534.0,1074780.0,-0.08714174631157379
2021,2376,技嘉,5.17,31787258.0,0.10340482969622608,2.24,5.67,8217667.0,10340451.0,12747208.0,0.014651429403982341
2021,6281,全國電,1.83,5956643.0,0.030476562050134614,2.02,1.5,2144064.0,1720535.0,1452498.0,-0.07891535209815448
2021,1725,元禎,0.28,2878608.0,0.018068802699082336,0.59,0.77,936501.0,846697.0,929067.0,0.9141641866701551
2021,8926,台汽電,0.41,1277142.0,0.19225661672703584,0.4,0.25,250799.0,424823.0,753043.0,-0.6761309634496581
2021,9904,寶成,1.25,64897672.0,0.08208548682609139,1.14,0.87,17125661.0,13434610.0,15073332.0,-0.11785728929269979
2021,9911,櫻花,0.94,1694029.0,0.12182849290065283,1.05,1.03,562427.0,523253.0,579661.0,0.19025619754256917
2021,1467,南緯,-0.15,1500819.0,-0.024283407925939103,1.92,-0.05,558338.0,522945.0,553732.0,-0.49221827216812497
2021,2601,益航,0.06,1656082.0,0.02341128035930588,0.01,0.1,488347.0,492417.0,617893.0,-0.23851884885983732
2021,2616,山隆,0.49,4592114.0,0.015229151541098501,1.27,1.48,1649133.0,1587744.0,1536651.0,0.17978164711134204
2021,6164,華興,0.08,238934.0,0.0340679853013803,-0.11,0.12,85627.0,80146.0,87176.0,0.5657651727101505
2021,3545,敦泰,10.46,5772267.0,0.363650884479183,1.02,9.03,2019215.0,2135950.0,2117257.0,0.6638005761295172
2021,3062,建漢,0.03,949420.0,0.011869351814792189,-0.02,0.17,258336.0,300929.0,353157.0,-0.36878370354805057
2021,2539,櫻花建,-0.08,980.0,-47.31938775510204,0.05,0.68,190.0,190.0,1985169.0,-0.999728159784817
2021,9908,大台北,0.35,754167.0,0.2337426591192667,0.7,0.54,204044.0,245630.0,224354.0,-0.17312087662706066
2021,5388,中磊,0.66,10004162.0,0.016626080225410185,1.12,0.73,3648827.0,3878588.0,3579223.0,0.20992878357761313
2021,2509,全坤建,0.06,184750.0,0.06973748308525034,0.13,-0.05,56870.0,35115.0,34467.0,-0.26860949637327025
2021,2543,皇昌,0.06,1987579.0,0.008933984510804351,0.05,0.11,742951.0,754119.0,682361.0,0.45165172910353135
