year,symbol,name,q2_rev,q2_ni,q2_margin,q2_eps,capital,q2_retained_earnings,q2_ocf,rev_m7,rev_m8,rev_m9,ly_q3_eps,target_eps,q2_ocf_ratio,q2_re_ratio,rev_trend_m8_m7,rev_trend_m9_m8
2021,1402,遠東新,58493983.0,4557016.0,0.07790572237147879,0.71,53528751.0,149245905.0,5420626.0,19058851.0,19327770.0,20059024.0,0.6,0.45,1.189512172000274,2.7881447299228035,0.014109927193407312,0.037834369924725
2021,1806,冠軍,824089.0,-16085.0,-0.01951852287799012,-0.04,4337821.0,451372.0,-13272.0,304242.0,304326.0,291124.0,0.05,2.62,0.8251165682312713,0.1040550082633654,0.00027609600252431754,-0.04338111104539211
2021,1702,南僑,4926650.0,275258.0,0.05587123095815615,1.04,2941330.0,3672277.0,436209.0,1492597.0,1662626.0,1757618.0,1.35,1.03,1.5847277826620843,1.2485090078297914,0.11391487454416693,0.05713371497859421
2021,6446,藥華藥,86762.0,-540678.0,-6.231737396556096,-2.08,2635393.0,-3367884.0,-657648.0,33618.0,30766.0,27678.0,-2.53,-2.7,1.216339484868998,-1.2779437450126034,-0.08483550478910107,-0.1003705389065852
2021,2373,震旦行,3395111.0,368677.0,0.10859055860029318,1.49,2362025.0,4681958.0,469443.0,1167614.0,1078680.0,1129244.0,2.21,1.78,1.273317836480171,1.9821796975053185,-0.07616729501359187,0.046875811176623206
2021,6226,光鼎,238000.0,13043.0,0.05480252100840336,0.15,1149518.0,145517.0,37083.0,79770.0,71152.0,116441.0,-0.06,0.08,2.8431342482557693,0.1265895792845349,-0.10803560235677578,0.6365105689228694
2021,3437,榮創,992209.0,32315.0,0.03256874307731537,0.22,1445480.0,344839.0,612586.0,301957.0,300291.0,315526.0,0.39,-0.1,5.0,0.23856366051415448,-0.005517341873180648,0.05073412123573462
2021,8422,可寧衛*,593990.0,263731.0,0.44399905722318556,2.43,1088880.0,2472104.0,361609.0,222122.0,263766.0,276644.0,3.01,2.58,1.3711281570994687,2.2703181250459186,0.18748255463213903,0.048823578474860296
2021,6142,友勁,624547.0,-168520.0,-0.2698275710234778,-0.51,3307792.0,-704751.0,-33216.0,211041.0,171532.0,152567.0,-0.31,-0.65,0.19710420128174697,-0.21305783434992284,-0.18721006818580277,-0.11056246064874198
2021,1722,台肥,2610836.0,760322.0,0.2912178321426547,0.78,9800000.0,39121873.0,1725112.0,901496.0,996228.0,1171517.0,0.51,0.8,2.2689229037171095,3.9920278571428573,0.1050831063033002,0.17595269356010879
2021,2014,中鴻,13397363.0,2280826.0,0.17024439809535652,1.59,14355444.0,4857626.0,1554827.0,5201624.0,5341704.0,5091940.0,0.17,1.02,0.6816947018317048,0.33838214965695246,0.026930051076356154,-0.046757364316704964
2021,8473,山林水,867754.0,841.0,0.0009691686814465851,-0.21,1348123.0,674668.0,-159656.0,268317.0,239911.0,305603.0,0.19,0.35,-5.0,0.5004498847657076,-0.10586731366257074,0.27381820758531283
2021,3704,合勤控,6084387.0,367192.0,0.060349875837943906,0.83,4485238.0,941555.0,161584.0,1881295.0,2175800.0,2267408.0,0.88,0.98,0.44005316019956864,0.2099230854639152,0.1565437637372129,0.04210313447927194
2021,1708,東鹼,1147618.0,130407.0,0.11363275933280935,0.57,2284419.0,3648841.0,216314.0,390366.0,403997.0,426915.0,0.24,0.52,1.6587606493516451,1.5972730921954335,0.03491851237044208,0.05672814402087134
2021,6589,台康生技,372415.0,-147700.0,-0.39660056657223797,-0.63,2436287.0,-3308673.0,-23313.0,403866.0,173837.0,78908.0,-0.19,1.54,0.15784021665538253,-1.3580801440881145,-0.5695676288670004,-0.5460805237089917
2021,2727,王品,3673251.0,-235206.0,-0.06403210670874383,-2.78,769879.0,1038082.0,57242.0,1038113.0,1412361.0,1296139.0,3.64,-1.45,-0.24336964193090313,1.3483703283243211,0.3605079601160952,-0.08228915978280338
2021,2497,怡利電,530331.0,-9688.0,-0.018267836502109062,-0.09,1187985.0,-30004.0,-42054.0,191381.0,180444.0,201207.0,-0.02,0.07,4.34083402146986,-0.02525621114744715,-0.05714778374028773,0.11506617011371945
2021,2020,美亞,1669210.0,173672.0,0.10404442820256289,0.78,2225261.0,950863.0,-81705.0,617158.0,595807.0,656789.0,0.75,0.87,-0.4704558017412133,0.4273040330999375,-0.03459567890232318,0.1023519361135401
2021,6625,必應,84822.0,-71593.0,-0.8440381033222513,-1.6,448734.0,-174150.0,-57773.0,5772.0,43987.0,38474.0,0.56,-0.92,0.8069643680248069,-0.388091831686478,6.62075537075537,-0.12533248459772206
2021,2006,東和鋼鐵,14935680.0,1505121.0,0.10077351684021083,1.37,10898714.0,11799306.0,-644803.0,4932499.0,4606354.0,4669117.0,0.79,1.31,-0.4284060882812744,1.0826328684283302,-0.06612165557458805,0.013625309735204816
2021,2450,神腦,6615724.0,108115.0,0.016342126727173018,0.42,2582527.0,2520732.0,402251.0,2367247.0,2384301.0,2616877.0,0.51,0.61,3.7205845627341256,0.9760718861796992,0.007204148954460532,0.09754473113923123
2021,2528,皇普,464108.0,57519.0,0.12393451524214191,0.18,3299974.0,-331620.0,-942241.0,136494.0,24601.0,14997.0,-0.31,0.05,-5.0,-0.10049170084370361,-0.8197649713540522,-0.3903906345270517
2021,2434,統懋,40624.0,-4225.0,-0.10400256006301693,-0.14,370000.0,-27617.0,-1529.0,13151.0,14297.0,10851.0,-2.26,-0.33,0.36189349112426034,-0.07464054054054053,0.08714166223100905,-0.24102958662656504
2021,2013,中鋼構,3500605.0,87870.0,0.02510137533369232,0.44,2000000.0,1322669.0,1151886.0,1492706.0,1404325.0,1308938.0,0.55,0.63,5.0,0.6613345,-0.05920857824648662,-0.06792373560251364
2021,2402,毅嘉,1646829.0,49303.0,0.02993814172570437,0.17,3075366.0,970953.0,192447.0,558712.0,545468.0,505797.0,0.24,0.27,3.903352737155954,0.31571949485036904,-0.023704520396912954,-0.0727283727001401
2021,2206,三陽工業,10164154.0,490956.0,0.04830269198990885,0.54,8030776.0,7617129.0,-631693.0,3757907.0,3215574.0,3385131.0,0.92,0.54,-1.2866590896129184,0.9484922752172393,-0.14431783436897183,0.052729932509716804
2021,1560,中砂,1487769.0,147743.0,0.09930506684841531,0.98,1415430.0,2208928.0,391997.0,517447.0,512863.0,508701.0,0.9,1.13,2.65323568629309,1.5606056110157338,-0.008858878300579631,-0.008115227653388901
2021,2421,建準,3326557.0,74324.0,0.02234262031283396,0.3,2509297.0,2127067.0,58009.0,1101756.0,1265784.0,1113603.0,0.93,0.35,0.780488133039126,0.8476744681877035,0.14887869909489937,-0.12022667374528351
2021,4164,承業醫,442987.0,73776.0,0.16654213329059317,0.47,1572934.0,1450346.0,35190.0,131802.0,145042.0,202122.0,1.09,0.43,0.47698438516590763,0.9220641171212524,0.10045371086933441,0.39354118117510795
2021,6776,展碁國際,4629035.0,88610.0,0.019142218626560396,1.03,815814.0,460033.0,398062.0,2095504.0,2029479.0,2001956.0,,1.04,4.492292066358199,0.5638944661405664,-0.031507933175026204,-0.013561608669022895
2021,3605,宏致,2774620.0,179488.0,0.06468921870382251,1.47,1223959.0,3149459.0,206718.0,930648.0,967608.0,906925.0,0.96,1.06,1.1517093064717419,2.573173611207565,0.039714263609871736,-0.06271444634604095
2021,2313,華通,12356977.0,615438.0,0.04980489969350918,0.52,11918206.0,16153650.0,2503097.0,5358180.0,5812051.0,6382692.0,1.21,1.31,4.067179797152597,1.3553759684972722,0.08470618754875714,0.09818238002385038
2021,6202,盛群,1670080.0,518135.0,0.31024561697643227,2.26,2261682.0,2645315.0,872932.0,622585.0,715735.0,781287.0,1.27,3.17,1.6847578333831916,1.1696228735958458,0.1496181244328083,0.09158697003779337
2021,2520,冠德,9437595.0,1576581.0,0.16705325880163324,2.76,5037910.0,10802396.0,408932.0,2311124.0,996142.0,1238066.0,0.83,0.68,0.2593789979709257,2.1442217109872943,-0.5689794229993717,0.2428609575743217
2021,1583,程泰,1757370.0,234975.0,0.1337083255091415,1.78,1104004.0,3441728.0,428338.0,569259.0,561792.0,581312.0,0.09,-0.31,1.8229088200872434,3.1174959511016263,-0.01311705216781811,0.03474595579858741
2021,8249,菱光,1174668.0,-12565.0,-0.010696639390874698,-0.09,1270550.0,1253583.0,-207754.0,423434.0,384333.0,298759.0,0.72,1.23,5.0,0.9866459407343277,-0.092342608293146,-0.22265587394264874
2021,1504,東元,13486642.0,1578841.0,0.11706702083439302,0.68,21387966.0,28233370.0,427051.0,4251967.0,4386806.0,4413724.0,0.42,0.75,0.27048385492902705,1.320058672245879,0.0317121464018888,0.006136127287142301
2021,4562,穎漢,207874.0,-47502.0,-0.2285134264025323,-0.7,675460.0,-28332.0,-17495.0,78704.0,79112.0,79711.0,-0.42,-0.36,0.36830028209338556,-0.041944748763805405,0.00518398048383828,0.007571544139953534
2021,3257,虹冠電,335327.0,99858.0,0.29779290066114567,1.38,727390.0,772876.0,67134.0,127619.0,130984.0,120418.0,1.02,1.49,0.6722946584149492,1.0625331665268976,0.026367547152069903,-0.0806663409271361
2021,3035,智原,1687852.0,192896.0,0.1142849017567891,0.73,2485503.0,2721328.0,120970.0,646536.0,731378.0,839908.0,0.25,1.31,0.627125497677505,1.0948801912530381,0.13122548473712214,0.14839111922972803
2021,9927,泰銘,2413898.0,178736.0,0.07404455366382506,0.86,2091482.0,2657818.0,168365.0,791022.0,661035.0,639194.0,0.94,1.08,0.941975875033569,1.2707821535160235,-0.1643279200831329,-0.033040610557686034
2021,4967,十銓,1955111.0,145031.0,0.0741804429518324,1.7,913697.0,581746.0,-151135.0,518791.0,538421.0,721279.0,-1.09,-2.6,-1.0420875536954168,0.6366946591703815,0.0378379732878944,0.33961899703020504
2021,1529,樂事綠能,128198.0,52427.0,0.408953337805582,0.54,959680.0,87576.0,11588.0,14822.0,35320.0,56280.0,0.41,0.39,0.22103114807255803,0.09125541847282427,1.3829442720280665,0.5934314835787089
2021,2032,新鋼,876012.0,62361.0,0.07118738099478089,0.47,1305215.0,361832.0,95207.0,314654.0,260502.0,293255.0,0.24,0.44,1.5267073972514873,0.27722022808502816,-0.17210014809918195,0.12573032068851675
2021,3058,立德,1188126.0,-136561.0,-0.1149381462908816,-0.87,1619374.0,-150444.0,-305410.0,418502.0,431714.0,454928.0,-0.14,-0.34,2.236436464290683,-0.09290256605330208,0.031569741602190726,0.05377170997465908
2021,5283,禾聯碩,1829641.0,276148.0,0.15093015515065525,3.78,730004.0,2435379.0,50444.0,677277.0,611845.0,420727.0,4.88,3.18,0.18267016237669656,3.3361173363433627,-0.09661039722299736,-0.3123634253773423
2021,3543,州巧,815522.0,28494.0,0.03493958470770868,0.33,892631.0,680702.0,-13724.0,301059.0,339867.0,318762.0,-4.98,0.27,-0.48164525865094404,0.7625793861069131,0.12890496547188435,-0.06209782061806535
2021,2201,裕隆,17911454.0,1695871.0,0.09468081150754148,0.96,10000000.0,33467606.0,-8070890.0,6404891.0,6219970.0,6762173.0,1.04,1.14,-4.759141467717769,3.3467606,-0.028871841847113444,0.0871713207619973
2021,1726,永記,2174720.0,203836.0,0.09372976751030018,1.26,1620000.0,7929430.0,63103.0,717208.0,727220.0,733270.0,1.39,1.36,0.3095773072470025,4.89470987654321,0.013959688123947211,0.008319353153103615
2021,1907,永豐餘,22550442.0,2710246.0,0.1201859369319679,1.02,16603715.0,21534667.0,2368395.0,6959305.0,5862959.0,6964142.0,1.33,0.78,0.8738671692532707,1.2969788387719254,-0.15753670804771458,0.18782034805292014
2021,3036,文曄,102096389.0,1998085.0,0.019570574626297507,2.53,9266280.0,15404830.0,-3610884.0,36346555.0,40457022.0,42301092.0,1.51,2.85,-1.8071723675419213,1.662461095498949,0.11309096556743814,0.045580962434654815
2021,2028,威致,3225944.0,420780.0,0.1304362381988032,1.29,3257148.0,242941.0,-301300.0,1377514.0,1089613.0,1060973.0,0.61,1.51,-0.716051143115167,0.07458703135381015,-0.20900041669267966,-0.026284561582873955
2021,6277,宏正,1220718.0,132917.0,0.10888427957972276,1.09,1194711.0,3343014.0,196492.0,393092.0,449460.0,427943.0,1.37,1.21,1.478306010517842,2.798177969400131,0.14339645680909308,-0.04787300315934673
2021,1538,正峰,71605.0,-13308.0,-0.18585294323022136,-0.5,264105.0,-59984.0,-7845.0,20779.0,16692.0,23229.0,0.54,-0.67,0.5894950405770965,-0.22712178868253158,-0.19668896482025122,0.3916247304097771
2021,6117,迎廣,579592.0,-24127.0,-0.04162755869646234,-0.23,886500.0,-188209.0,20203.0,200415.0,184004.0,245178.0,-0.15,0.13,-0.8373606333153728,-0.21230569655950365,-0.0818850884414839,0.3324601639094802
2021,2211,長榮鋼,2601485.0,327321.0,0.12582082925713584,0.61,4199820.0,9104051.0,189823.0,1017164.0,1211872.0,1203873.0,,1.17,0.5799291826677787,2.1677240929373163,0.1914224254889083,-0.006600532069393483
2021,3712,永崴投控,1710322.0,29550.0,0.01727744834013712,0.12,2462421.0,138580.0,214039.0,680704.0,732745.0,939978.0,-0.04,0.43,5.0,0.05627794759710058,0.07645173232418201,0.28281735119311624
