symbol,name,q2_rev,q2_margin,q2_eps,capital,q3_rev_total,target_eps,naive_pred_eps
2008,高興昌,391563.0,0.08683915487418371,0.18,1908523.0,345833.0,0.16,0.15735647643546125
6477,安集,235764.0,0.07954564734225751,0.15,1237825.0,298914.0,,0.19208941190930515
1737,臺鹽,803729.0,0.1046422363756938,0.5,2000000.0,838926.0,0.45,0.43893546396857647
9907,統一實,11620560.0,0.043321320142919104,0.33,15791453.0,12488560.0,0.29,0.3426036260780143
5484,慧友,175358.0,-0.018379543562312528,-0.05,668010.0,100411.0,-0.45,-0.02762695691135407
4106,雃博,584360.0,0.03652371825586967,0.21,1009116.0,541873.0,0.07,0.19612429871751974
3645,達邁,589783.0,0.19767100781134755,0.91,1322053.0,619045.0,0.48,0.925585048637049
8249,菱光,1025372.0,0.0554150103572167,0.5,1490550.0,1300129.0,1.95,0.48335622421735464
8996,高力,1000082.0,0.1657064120742099,1.84,906273.0,1209670.0,2.28,2.211806767870272
6243,迅杰,187375.0,0.06915543695797198,0.29,452688.0,174792.0,-0.16,0.2670231403694783
8011,台通,780487.0,0.0909265625180176,0.39,1659219.0,481421.0,0.14,0.26382265785280035
2514,龍邦,5547594.0,0.049547425424427236,0.43,3947293.0,7443738.0,0.91,0.9343569211456437
2484,希華,517813.0,0.08287547821317734,0.27,1594210.0,620071.0,0.18,0.322345742726009
6937,天虹,495573.0,0.18970363599308276,1.39,674773.0,563630.0,1.23,1.584572298458611
1773,勝一,2636817.0,0.1750678943589942,1.85,2500000.0,2876236.0,1.91,2.0141463207981443
2543,皇昌,3951949.0,0.23230689464869106,3.27,3307315.0,2934729.0,0.85,2.0613633132176963
9946,三發地產,789663.0,0.18296665792876202,0.45,3265542.0,251517.0,0.08,0.1409236962876865
9926,新海,564796.0,0.27476292325016466,0.87,1795041.0,511642.0,0.75,0.783159000700044
2702,華園,372813.0,0.09744027166434646,0.23,1566133.0,377810.0,-0.19,0.23506246939121225
6658,聯策,481924.0,0.03963488018857745,0.47,328700.0,327912.0,-0.27,0.39539862587151836
6226,光鼎,162193.0,-0.08018841750260493,-0.1,1166198.0,155561.0,-0.14,-0.10696460133804658
6239,力成,19586480.0,0.11810126168663282,2.45,7591466.0,18302252.0,2.28,2.847301236555231
4746,台耀,1214512.0,0.19418910640652376,2.36,1202560.0,1030886.0,0.19,1.664672292002026
1583,程泰,1245361.0,0.1602724029417976,1.52,1104004.0,1118375.0,1.53,1.6235869493229453
3048,益登,24631676.0,-0.0005353675486800005,-0.05,2698298.0,30644289.0,-2.37,-0.06080113420745784
3006,晶豪科,3579848.0,0.0687934236313944,0.88,2861722.0,3412509.0,0.74,0.8203388633939497
6136,富爾特,121601.0,-0.00810848594995107,-0.01,1155364.0,116003.0,0.8,-0.008141232508994341
1210,大成,24994943.0,0.04051075451542338,0.94,8947673.0,26148237.0,1.0,1.1838662522849355
3041,揚智,410004.0,-0.12604023375381704,-0.26,1951227.0,428478.0,-0.93,-0.276776957670061
3701,大眾控,3544996.0,0.023457854395322306,0.09,2347142.0,3443351.0,-0.1,0.34413608716467714
1315,達新,558998.0,0.10794671895069392,0.62,990990.0,509344.0,0.46,0.5548190558655712
3653,健策,3401156.0,0.2508135469234578,6.03,1428927.0,3593006.0,5.38,6.306652327076648
1435,中福,3058.0,-2.34107259646828,-0.05,1397801.0,2971.0,-0.09,-0.049759062156252996
