symbol,name,q2_rev,rev_m7,rev_m8,rev_m9,year,q2_eps,q2_margin,ly_q3_eps,rev_yoy_m7,target_eps
1220,台榮,789944.0,258235.0,265446.0,267658.0,2021,0.32,0.0782625097475264,0.31,-0.0249653573572666,0.16
5234,達興材料,1091047.0,392543.0,398002.0,389544.0,2021,1.56,0.147550930436544,1.53,0.0936386456525313,1.85
3051,力特,915633.0,317833.0,262526.0,207168.0,2021,0.32,0.1135302026030079,0.04,0.4793664240099793,0.27
6183,關貿,485014.0,146138.0,171008.0,188934.0,2021,0.65,0.1985509696627314,0.88,-0.1575312456763362,0.61
4532,瑞智,6281919.0,1996792.0,1540420.0,1633481.0,2021,0.41,0.0314142859849036,0.43,0.1260285173729278,0.37
6112,邁達特,2748667.0,1076531.0,1013534.0,1074780.0,2021,0.48,0.0330643908483639,0.73,-0.0871417463115737,0.71
2376,技嘉,31787258.0,8217667.0,10340451.0,12747208.0,2021,5.17,0.103404829696226,2.24,0.0146514294039823,5.67
6281,全國電,5956643.0,2144064.0,1720535.0,1452498.0,2021,1.83,0.0304765620501346,2.02,-0.0789153520981544,1.5
1725,元禎,2878608.0,936501.0,846697.0,929067.0,2021,0.28,0.0180688026990823,0.59,0.9141641866701552,0.77
8926,台汽電,1277142.0,250799.0,424823.0,753043.0,2021,0.41,0.1922566167270358,0.4,-0.6761309634496581,0.25
9904,寶成,64897672.0,17125661.0,13434610.0,15073332.0,2021,1.25,0.0820854868260913,1.14,-0.1178572892926997,0.87
9911,櫻花,1694029.0,562427.0,523253.0,579661.0,2021,0.94,0.1218284929006528,1.05,0.1902561975425691,1.03
1467,南緯,1500819.0,558338.0,522945.0,553732.0,2021,-0.15,-0.0242834079259391,1.92,-0.4922182721681249,-0.05
2601,益航,1656082.0,488347.0,492417.0,617893.0,2021,0.06,0.0234112803593058,0.01,-0.2385188488598373,0.1
2616,山隆,4592114.0,1649133.0,1587744.0,1536651.0,2021,0.49,0.0152291515410985,1.27,0.179781647111342,1.48
